Series Code,Average_Debt
DT.AMT.BLAT.CD,2176784192.6838245
DT.AMT.BLAT.GG.CD,1675064422.3970373
DT.AMT.BLAT.OPS.CD,682317102.0486841
DT.AMT.BLAT.PRVG.CD,13971491.05
DT.AMT.BLAT.PS.CD,2175140487.8463244
DT.AMT.BLTC.CD,337730708.2054689
DT.AMT.DEGG.CD,6913177485.044852
DT.AMT.DIMF.CD,1221298800.791304
DT.AMT.DLXF.CD,32494934241.314697
DT.AMT.DOPS.CD,5045381215.86796
DT.AMT.DPNG.CD,28036243554.12597
DT.AMT.DPPG.CD,11062365540.888235
DT.AMT.MLAT.CD,2265336148.016911
DT.AMT.MLAT.GG.CD,1989687950.833824
DT.AMT.MLAT.OPS.CD,361911749.97471267
DT.AMT.MLAT.PRVG.CD,33903521.48846154
DT.AMT.MLAT.PS.CD,2258854592.4448524
DT.AMT.MLTC.OPS.CD,9408916.842857143
DT.AMT.MLTC.PS.CD,471971710.9726561
DT.AMT.OFFT.CD,4446764408.362501
DT.AMT.OFFT.GG.CD,3652435723.0875006
DT.AMT.OFFT.OPS.CD,850432877.6
DT.AMT.OFFT.PRVG.CD,36834513.85
DT.AMT.OFFT.PS.CD,4434435333.727208
DT.AMT.PBND.CD,6313448520.91839
DT.AMT.PBND.GG.CD,4131991510.371765
DT.AMT.PBND.OPS.CD,4853045712.92
DT.AMT.PBND.PRVG.CD,570696721.2857143
DT.AMT.PBND.PS.CD,6262909138.964368
DT.AMT.PCBK.CD,3336357210.741838
DT.AMT.PCBK.GG.CD,861395279.7241759
DT.AMT.PCBK.OPS.CD,4224489895.9309087
DT.AMT.PCBK.PRVG.CD,122578395.125
DT.AMT.PCBK.PS.CD,3326350811.139797
DT.AMT.PNGB.CD,7451034738.174576
DT.AMT.PNGC.CD,24268304429.824512
DT.AMT.PROP.CD,480601991.14313734
DT.AMT.PROP.GG.CD,311966413.9866667
DT.AMT.PROP.OPS.CD,404962348.8600001
DT.AMT.PROP.PS.CD,480601991.14313734
DT.AMT.PRPG.CD,184258776.5393939
DT.AMT.PRVT.CD,8121902374.983784
DT.AMT.PRVT.GG.CD,4070135206.106422
DT.AMT.PRVT.OPS.CD,7157259533.008197
DT.AMT.PRVT.PRVG.CD,452318564.54545456
DT.AMT.PRVT.PS.CD,8076717383.236036
DT.DIS.BLAT.CD,3995436710.687501
DT.DIS.DLXF.CD,10256696979.81259
DT.DIS.DPPG.CD,10222688680.089626
DT.DIS.MLAT.CD,3708659695.6045814
DT.DIS.OFFT.CD,7443599721.622387
DT.DIS.PCBK.CD,3055860136.2240005
DT.DIS.PROP.CD,712205599.3617648
DT.DIS.PRVT.CD,4729974798.75926
DT.INT.BLAT.CD,570455456.0992647
DT.INT.BLAT.GG.CD,457559225.2303704
DT.INT.BLAT.OPS.CD,179998116.59078953
DT.INT.BLAT.PRVG.CD,5341083.09375
DT.INT.BLAT.PS.CD,569827093.3794118
DT.INT.BLTC.CD,63865813.49296879
DT.INT.DEGG.CD,4312471481.913969
DT.INT.DEPS.CD,5856777344.324265
DT.INT.DIMF.CD,329640373.03739125
DT.INT.DLXF.CD,10370720793.402208
DT.INT.DOPS.CD,1982986900.0640774
DT.INT.DPNG.CD,5855669374.902884
DT.INT.DPPG.CD,5881273018.645589
DT.INT.MLAT.CD,1342253198.6772063
DT.INT.MLAT.GG.CD,1247453182.724265
DT.INT.MLAT.OPS.CD,124528259.1942529
DT.INT.MLAT.PRVG.CD,8506961.58076923
DT.INT.MLAT.PS.CD,1340626867.8066182
DT.INT.MLTC.OPS.CD,2463335.9448979595
DT.INT.MLTC.PS.CD,114624554.97265632
DT.INT.OFFT.CD,1912708654.76544
DT.INT.OFFT.GG.CD,1701648001.873529
DT.INT.OFFT.OPS.CD,250140973.57551026
DT.INT.OFFT.PRVG.CD,10221277.686666666
DT.INT.OFFT.PS.CD,1910453961.1499991
DT.INT.PBND.CD,4626072450.611494
DT.INT.PBND.GG.CD,3816007125.44
DT.INT.PBND.OPS.CD,1878296737.8800004
DT.INT.PBND.PRVG.CD,363018090.14285713
DT.INT.PBND.PS.CD,4596864098.531034
DT.INT.PCBK.CD,1144215750.5214288
DT.INT.PCBK.GG.CD,306736582.96373624
DT.INT.PCBK.OPS.CD,1497719536.1109083
DT.INT.PCBK.PRVG.CD,55165289.5625
DT.INT.PCBK.PS.CD,1139712461.552041
DT.INT.PNGB.CD,2621484593.0525417
DT.INT.PNGC.CD,4460932237.340197
DT.INT.PROP.CD,495062402.93137264
DT.INT.PROP.GG.CD,66093250.1
DT.INT.PROP.OPS.CD,889095651.8159997
DT.INT.PROP.PS.CD,495062402.93137264
DT.INT.PRPG.CD,99669311.45757575
DT.INT.PRVT.CD,4861577200.766667
DT.INT.PRVT.GG.CD,3259154412.530276
DT.INT.PRVT.OPS.CD,2946456316.3360643
DT.INT.PRVT.PRVG.CD,271131722.5
DT.INT.PRVT.PS.CD,4836446846.090991
DT.TDS.BLAT.CD,2747239648.784559
DT.TDS.BLAT.GG.CD,2132623647.6251862
DT.TDS.BLAT.OPS.CD,862315218.6776315
DT.TDS.BLAT.PRVG.CD,19312574.14375
DT.TDS.BLAT.PS.CD,2744967581.2419114
DT.TDS.BLTC.CD,401596521.689844
DT.TDS.DECT.CD,44199429071.00956
DT.TDS.DEGG.CD,11228152327.857357
DT.TDS.DEPS.CD,16875156866.432356
DT.TDS.DIMF.CD,1550939173.825217
DT.TDS.DLXF.CD,42788415218.09705
DT.TDS.DOPS.CD,7031361954.234952
DT.TDS.DPNG.CD,33883220052.952896
DT.TDS.DPPG.CD,16958692798.636032
DT.TDS.MLAT.CD,3607589346.6830893
DT.TDS.MLAT.GG.CD,3237141133.5360303
DT.TDS.MLAT.OPS.CD,486440009.1735632
DT.TDS.MLAT.PRVG.CD,42410483.06923078
DT.TDS.MLAT.PS.CD,3599481460.232353
DT.TDS.MLTC.OPS.CD,11872252.7877551
DT.TDS.OFFT.GG.CD,5353341698.897057
DT.TDS.OFFT.OPS.CD,1100573851.1704082
DT.TDS.OFFT.PRVG.CD,47055791.53666667
DT.TDS.OFFT.PS.CD,6347432661.589702
DT.TDS.PBND.CD,10935005865.187359
DT.TDS.PBND.GG.CD,7941245393.707059
DT.TDS.PBND.OPS.CD,6731342450.724999
DT.TDS.PBND.PRVG.CD,933714811.4285715
DT.TDS.PBND.PS.CD,10858978262.06092
DT.TDS.PCBK.CD,4480572961.27449
DT.TDS.PCBK.GG.CD,1168131862.6868136
DT.TDS.PCBK.OPS.CD,5722209432.0199995
DT.TDS.PCBK.PRVG.CD,177743684.6875
DT.TDS.PCBK.PS.CD,4466063272.733674
DT.TDS.PNGB.CD,10092138252.071186
DT.TDS.PNGC.CD,28721315376.706875
DT.TDS.PROP.GG.CD,378059664.0733334
DT.TDS.PROP.OPS.CD,1294058000.564
DT.TDS.PROP.PS.CD,975664394.1019609
DT.TDS.PRPG.CD,283928087.9939394
DT.TDS.PRVT.CD,12984837694.349546
DT.TDS.PRVT.GG.CD,7327248245.326603
DT.TDS.PRVT.OPS.CD,10096234923.12623
DT.TDS.PRVT.PRVG.CD,723450287.1818181
DT.TDS.PRVT.PS.CD,12901856535.21441
